,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
4593,2016-01-17,UFC Fight Night: Dillashaw vs Cruz,c6becb722706c7d8,TJ Dillashaw,Dominick Cruz,c849740a3ff51931,10f3ba6cd2f44a97
4594,2016-07-09,UFC 200: Tate vs Nunes,aa5b4eff51bdc7d1,TJ Dillashaw,Raphael Assuncao,c849740a3ff51931,2f13e4020cea5b38
4595,2016-12-30,UFC 207: Nunes vs. Rousey,4b2390cfaceb91d8,TJ Dillashaw,John Lineker,c849740a3ff51931,c268b2cfebccf652
4596,2018-08-04,UFC 227: Dillashaw vs. Garbrandt 2,03b1e846b09f721d,TJ Dillashaw,Cody Garbrandt,c849740a3ff51931,d8c7c61b176e3994
4597,2009-04-18,UFC 97: Redemption,1652f3213655b935,TJ Grant,Ryo Chonan,a26198ba5093147e,55a7b2d4e54ffac9
4598,2009-12-12,UFC 107: Penn vs Sanchez,821cd80aab70d5f9,TJ Grant,Kevin Burns,a26198ba5093147e,a6d8bfe9e0c8153b
4599,2010-05-08,UFC 113: Machida vs Shogun 2,d0c29452d3272603,TJ Grant,Johny Hendricks,a26198ba5093147e,0941df56f6ac954b
4600,2010-09-25,UFC 119: Mir vs Cro Cop,ad32471f01e7b1a5,TJ Grant,Julio Paulino,a26198ba5093147e,60c72f7459827881
4601,2010-12-11,UFC 124: St-Pierre vs Koscheck 2,132f860d02953f4c,TJ Grant,Ricardo Almeida,a26198ba5093147e,91186547a7f3f758
4602,2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,8caca5857ce0e30b,TJ Grant,Carlo Prater,a26198ba5093147e,4f853e98886283cf
4603,2012-09-22,UFC 152: Jones vs Belfort,53e533db1b8e9712,TJ Grant,Evan Dunham,a26198ba5093147e,e5c9de15bb58b1c6
4604,2013-01-26,UFC on Fox: Johnson vs Dodson,738acab0c6934dd8,TJ Grant,Matt Wiman,a26198ba5093147e,eb29176b03dfa888
4605,2010-09-15,UFC Fight Night: Marquardt vs Palhares,acff437707625fc7,TJ Waldburger,David Mitchell,8f2939f5fd9cca1e,8f3df4c579cfbb69
4606,2011-09-17,UFC Fight Night Live: Shields vs Ellenberger,1ffc38f67785797b,TJ Waldburger,Mike Stumpf,8f2939f5fd9cca1e,c0c36a5b3d5bbdd5
4607,2012-03-02,UFC on FX: Alves vs Kampmann,b5ea750025697880,TJ Waldburger,Jake Hecht,8f2939f5fd9cca1e,e57fdbea1b828202
4608,2012-12-15,The Ultimate Fighter 16 Finale,c6da1c24fe473418,TJ Waldburger,Nick Catone,8f2939f5fd9cca1e,f8fe2053d73d7bcf
4609,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,eae4aec1a5a8ff01,TJ Waldburger,Adlan Amagov,8f2939f5fd9cca1e,1e327b281ef6a745
4610,2015-05-16,UFC Fight Night: Edgar vs Faber,b1605ea39fba6af6,Tae Hyun Bang,Jon Tuck,9a2d3567abc02e34,53ec9cb470e1a4ea
4611,2015-11-28,UFC Fight Night: Henderson vs Masvidal,4d636c3aa1105950,Tae Hyun Bang,Leo Kuntz,9a2d3567abc02e34,6905d45bd71b50a9
4612,2018-02-10,UFC 221: Romero vs. Rockhold,15515e797aedc137,Tai Tuivasa,Cyril Asker,c62fbc117d57b943,9be6020024133293
4613,2008-04-29,DREAM 2: Middleweight Grand Prix 2008 1st Round,7e69a4b0961aa555,Taiei Kin,Ikuhisa Minowa,c7ac79839e86ce33,ce6065baef021cf3
4614,2012-02-25,UFC 144: Edgar vs Henderson,8377c5572cb356f3,Takanori Gomi,Eiji Mitsuoka,3be081c29bf734d9,2b4faacc16d66898
4615,2012-11-10,UFC Macao: Franklin vs Le,319fa1bd3176bded,Takanori Gomi,Mac Danzig,3be081c29bf734d9,86f582852a5b240a
4616,2013-03-02,UFC on FUEL TV: Japan,83c6c3e0f8bde8ee,Takanori Gomi,Diego Sanchez,3be081c29bf734d9,82e7929bf6c2b689
4617,2014-04-26,UFC 172: Jones vs Teixeira,4f2fcbefb668689d,Takanori Gomi,Isaac Vallie-Flagg,3be081c29bf734d9,c295de4e10acd4c9
